appearDate,applyCnt,coIndustry,coIndustryDesc,custName,custNo,description,descSnippet,mrtDist,jobAddress,jobAddrNo,jobAddrNoDesc,jobName,jobNameSnippet,jobNo,jobRo,jobType,lat,lon,link,major,mrt,mrtDesc,optionEdu,period,remoteWorkType,s10,salaryHigh,salaryLow,tags,s9,s5,d3,hrBehaviorPR,jobCat,labels,isSave,isApplied,applyDate,userApplyCount,isActivelyHiring,interactionRecord
20250704,1,1006003001,廣告行銷公關業,創浪行銷顧問有限公司,130000000255159,"數據分析工具監測社群媒體、論壇、新聞平台，定期監控社群輿情。

2.消費者洞察: 掌握潛在目標對象輪廓，了解消費者需求、偏好與痛點。

3.行銷成效數據分析: 追蹤社群行銷、內容行銷與口碑操作成效，監控專案效益並分析成果。

4.品牌聲量分析: 定","[[[數據分析]]]工具監測社群媒體、論壇、新聞平台，定期監控社群輿情。

2.消費者洞察: 掌握潛在目標對象輪廓，了解消費者需求、偏好與痛點。

3.行銷成效[[[數據分析]]]: 追蹤社群行銷、內容行銷與口碑操作成效，監控專案效益並分析成果。

4.品牌聲量分析: 定",0.32,基隆路一段394號2樓,6001001007,台北市信義區,數據分析經理,[[[數據分析]]]經理,14724608,1,0,25.0344998,121.5600535,"{'job': 'https://www.104.com.tw/job/8rlkw', 'cust': 'https://www.104.com.tw/company/1a2x6bng6v', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8rlkw?channel=104rpt'}","['統計學相關', '資訊管理相關', '大眾傳播學相關']",99001002002,捷運台北101/世貿站,"[4, 5, 6]",4,0,10,0,0,"{'wf8': {'desc': '', 'param': 'wf8'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'landmark': {'desc': '距捷運台北101/世貿站約320公尺'}}",[1],0,,0.46724486884573546,[2007001018],"['c@wf8', 'c@wf7']",,,,,False,"{'lastProcessedResumeAtTime': 1751880594, 'nowTimestamp': 1751964634}"
20250707,2,1007001003,旅遊服務業,酷遊天股份有限公司,130000000057677,"備邏輯思考與清晰表達能力，能有效將數據分析結果轉化為行動建議。
4. 積極主動、擅長溝通協作，具備高度執行力與責任感。

【加分但不是必備】
1. 具備電商、旅遊科技或行銷領域的分析實務經驗。
2. 熟悉資料治理、資料模型設計或與 BI 團隊協作規","備邏輯思考與清晰表達能力，能有效將[[[數據分析]]]結果轉化為行動建議。
4. 積極主動、擅長溝通協作，具備高度執行力與責任感。

【加分但不是必備】
1. 具備電商、旅遊科技或行銷領域的分析實務經驗。
2. 熟悉資料治理、資料模型設計或與 BI 團隊協作規",0.0,新湖一路128巷15號5樓,6001001010,台北市內湖區,數據分析師 Data Analyst [RD],[[[數據分析]]]師 Data Analyst [RD],14562272,1,0,25.0600484,121.577309,"{'job': 'https://www.104.com.tw/job/8o4bk', 'cust': 'https://www.104.com.tw/company/1a2x6bj7t9', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8o4bk?channel=104rpt'}",[],,,"[4, 5, 6]",3,0,10,0,0,"{'wf1': {'desc': '', 'param': 'wf1'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf18': {'desc': '', 'param': 'wf18'}, 'wf12': {'desc': '', 'param': 'wf12'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf19': {'desc': '', 'param': 'wf19'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf30': {'desc': '', 'param': 'wf30'}}",[1],0,09:30-18:30 (彈性工時),0.8398910465593181,"[2007001018, 2007001021, 2007001022]","['c@wf1', 'c@wf26', 'c@wf9', 'c@wf18', 'c@wf12', 'c@wf28', 'c@wf7', 'c@wf29', 'c@wf19', 'foreigners@pt_fc_em_jbs', 'c@wf2', 'foreigners@full_fc_em_jbs', 'c@wf30']",,,,,True,"{'lastProcessedResumeAtTime': 1751957481, 'nowTimestamp': 1751964634}"
20250625,9,1008003001,工商顧問服務業,世銳顧問有限公司,130000000124356,"題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化數據和概念以增強觀眾參與度和理解
•	進行臨床實驗數據分析和實驗設計
•	製作具有最新數據與圖表的醫學文獻刊物
•	研究、理解和","題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化數據和概念以增強觀眾參與度和理解
•	進行臨床實驗[[[數據分析]]]和實驗設計
•	製作具有最新數據與圖表的醫學文獻刊物
•	研究、理解和",0.26,中山北路二段33號6樓,6001001003,台北市中山區,商業數據分析師,商業[[[數據分析]]]師,14079349,1,0,25.0533725,121.5228523,"{'job': 'https://www.104.com.tw/job/8drp1', 'cust': 'https://www.104.com.tw/company/1a2x6bkn9g', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8drp1?channel=104rpt'}","['一般商業學類', '醫藥工程相關', '數理統計相關']",99001003015,捷運中山站,"[2, 3, 4, 5, 6]",0,0,50,60000,50000,"{'wf7': {'desc': '', 'param': 'wf7'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf12': {'desc': '', 'param': 'wf12'}, 'wf26': {'desc': '', 'param': 'wf26'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'landmark': {'desc': '距捷運中山站約260公尺'}}",[1],0,,0.9529369282619162,"[2007001021, 2007001018, 2004003006]","['c@wf7', 'c@wf30', 'c@wf3', 'senior@senior_job_E', 'c@wf12', 'c@wf26', 'c@wf29', 'deboost@kwdeboost_link_1', 'c@wf1', 'college@student_invited', 'c@wf2']",,,,,True,"{'lastProcessedResumeAtTime': None, 'nowTimestamp': 1751964634}"
20250708,5,1012001002,診所,馬光醫療網_馬光中醫診所,130000000071941,"工作內容
*分析內部營運相關數據，製作營運儀表板，提供決策依據
*針對經營議題（如選址、服務優化..等）提出數據建議
*跨部門協作專案分析（行銷活動、會員經營、顧客回診等）
*支援管理團隊進行專案追蹤、經營報告與策略會議簡報彙整","工作內容
*分析內部營運相關數據，製作營運儀表板，提供決策依據
*針對經營議題（如選址、服務優化..等）提出數據建議
*跨部門協作專案分析（行銷活動、會員經營、顧客回診等）
*支援管理團隊進行專案追蹤、經營報告與策略會議簡報彙整",0.2,維新路128號3樓,6001016024,高雄市鳳山區,策略數據分析師｜產業洞察×跨部門數據整合,策略[[[數據分析]]]師｜產業洞察×跨部門數據整合,14685273,1,2,22.6247228,120.3612662,"{'job': 'https://www.104.com.tw/job/8qr89', 'cust': 'https://www.104.com.tw/company/1a2x6bjith', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8qr89?channel=104rpt'}","['企業管理相關', '資訊管理相關', '其他數學及電算機科學相關']",99004002012,捷運大東站,"[3, 4, 5]",3,0,10,0,0,"{'wf3': {'desc': '', 'param': 'wf3'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf31': {'desc': '', 'param': 'wf31'}, 'landmark': {'desc': '距捷運大東站約200公尺'}}",[1],0,,0.5979577916867277,"[2007001018, 2007001022, 2007001021]","['foreigners@foreigners_tick', 'c@wf3', 'foreigners@overseasStudents_tick', 'c@wf1', 'c@wf28', 'c@wf7', 'senior@senior_job_G', 'c@wf29', 'c@wf9', 'c@wf30', 'c@wf10', 'c@wf4', 'c@wf2', 'c@wf31']",,,,,False,"{'lastProcessedResumeAtTime': 1751944135, 'nowTimestamp': 1751964634}"
20250703,6,1001001003,網際網路相關業,OB嚴選_橘熊科技股份有限公司,27997582000,"工作內容：
1. 會員相關數據研究與顧客行為分析，協助公司內部CRM執行，並給予營運單位經營建議
2. 與行銷、業務等跨部門協做商品專案經營及追蹤數據並提出優化建議
3. 廣告投放效益分析及網站社群媒體流量數據統整分析，並提出建議以提升營運績效
4. 建置及維護營運相關數據資料及資料視覺化，製作報表或儀表板，協助營運單位追蹤相關數據指標
5. 主管交辦事項","工作內容：
1. 會員相關數據研究與顧客行為分析，協助公司內部CRM執行，並給予營運單位經營建議
2. 與行銷、業務等跨部門協做商品專案經營及追蹤數據並提出優化建議
3. 廣告投放效益分析及網站社群媒體流量數據統整分析，並提出建議以提升營運績效
4. 建置及維護營運相關數據資料及資料視覺化，製作報表或儀表板，協助營運單位追蹤相關數據指標
5. 主管交辦事項",0.37,八德路四段768巷1弄18號13樓,6001001011,台北市南港區,營運數據分析-營運管理部,營運[[[數據分析]]]-營運管理部,14300176,1,2,25.0500757,121.5813713,"{'job': 'https://www.104.com.tw/job/8ii34', 'cust': 'https://www.104.com.tw/company/cv11cj4', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8ii34?channel=104rpt'}",[],99001003020,捷運松山站,"[4, 5, 6]",3,0,10,0,0,"{'wf26': {'desc': '', 'param': 'wf26'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'landmark': {'desc': '距捷運松山站約370公尺'}}",[1],0,0900-1800,0.3036542199397279,"[2004001010, 2007001021, 2004003002]","['c@wf26', 'c@wf2', 'c@wf10', 'c@wf9', 'c@wf4', 'c@wf3', 'c@wf29', 'c@wf28', 'c@wf1', 'c@wf7']",,,,,False,"{'lastProcessedResumeAtTime': 1751944178, 'nowTimestamp': 1751964634}"
20250604,2,1005001007,大專校院教育事業,國立臺北科技大學,92021164025,"作，成果應用於企業與政府智慧城市專案。加入我們，您將成為城市科學的先鋒，與世界領先的團隊共創未來！

【工作內容】
都市數據分析師運用數據分析與技術工具，解決城市規劃與治理挑戰，推動智慧城市發展。
1. 分析城市數據（如交通流量、土地使用、能源消耗","作，成果應用於企業與政府智慧城市專案。加入我們，您將成為城市科學的先鋒，與世界領先的團隊共創未來！

【工作內容】
都市[[[數據分析]]]師運用[[[數據分析]]]與技術工具，解決城市規劃與治理挑戰，推動智慧城市發展。
1. 分析城市數據（如交通流量、土地使用、能源消耗",0.21,忠孝東路三段46號1樓,6001001005,台北市大安區,MITxTaipei Tech 都市數據分析師,MITxTaipei Tech 都市[[[數據分析]]]師,13817654,1,0,25.0418021,121.5348869,"{'job': 'https://www.104.com.tw/job/885rq', 'cust': 'https://www.104.com.tw/company/169v0wl5', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/885rq?channel=104rpt'}",[],99001004007,捷運忠孝新生站,"[4, 5, 6]",0,0,10,0,0,{'landmark': {'desc': '距捷運忠孝新生站約210公尺'}},[1],0,,0.6373642539988231,"[2007001022, 2007001004, 2008001009]","['foreigners@full_fc_em_jbs', 'foreigners@pt_fc_em_jbs']",,,,,False,"{'lastProcessedResumeAtTime': 1751426431, 'nowTimestamp': 1751964634}"
20250515,4,1002014001,船舶及其零件製造修配業,龍德造船工業股份有限公司,40607762000,"1. 數據分析與報告： 
收集並分析生產數據，編制週/月報告，向上級主管彙報生產狀況，提出問題和建議。

2. 生產計畫管理： 
負責制定和執行月度、週度、日常生產計畫，確保各項生產任務依時完成，並達到預期品質與數量目標。

5. 協調與溝通：","1. [[[數據分析]]]與報告： 
收集並分析生產數據，編制週/月報告，向上級主管彙報生產狀況，提出問題和建議。

2. 生產計畫管理： 
負責制定和執行月度、週度、日常生產計畫，確保各項生產任務依時完成，並達到預期品質與數量目標。

5. 協調與溝通：",0.0,蘇東里008鄰港區27號,6001003010,宜蘭縣冬山鄉,數據分析員-生產管理,[[[數據分析]]]員-生產管理,14643915,1,2,24.5916012,121.863377,"{'job': 'https://www.104.com.tw/job/8pvbf', 'cust': 'https://www.104.com.tw/company/inkt9ow', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8pvbf?channel=104rpt'}",[],,,[4],0,0,50,9999999,38000,"{'wf1': {'desc': '', 'param': 'wf1'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf4': {'desc': '', 'param': 'wf4'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf25': {'desc': '', 'param': 'wf25'}, 'wf9': {'desc': '', 'param': 'wf9'}, 'wf7': {'desc': '', 'param': 'wf7'}}",[1],0,,0.7541347919898714,"[2009001004, 2009001003]","['c@wf1', 'c@wf2', 'c@wf4', 'c@wf30', 'c@wf25', 'c@wf9', 'c@wf7']",,,,,True,"{'lastProcessedResumeAtTime': 1751935588, 'nowTimestamp': 1751964634}"
20250708,10,1006003001,廣告行銷公關業,華權數位整合行銷有限公司,130000000245193,"主要工作述敘：
1. 數據分析與精算：
■分析遊戲玩家行為數據、直播主表現數據，協助優化遊戲與直播內容。
■構建和運用統計模型，支持業務決策與獎金制度的執行。
■定期進行業務數據的監測與報告，找出增長機會和優化空間。

2. 獎金分潤制度規劃：","主要工作述敘：
1. [[[數據分析]]]與精算：
■分析遊戲玩家行為數據、直播主表現數據，協助優化遊戲與直播內容。
■構建和運用統計模型，支持業務決策與獎金制度的執行。
■定期進行業務數據的監測與報告，找出增長機會和優化空間。

2. 獎金分潤制度規劃：",0.0,高鐵五路156號5樓之5,6001008012,台中市烏日區,數據分析師,[[[數據分析]]]師,14424533,1,0,24.1165163,120.6155399,"{'job': 'https://www.104.com.tw/job/8l61h', 'cust': 'https://www.104.com.tw/company/1a2x6bn8i1', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8l61h?channel=104rpt'}","['統計學相關', '數理統計相關', '應用數學相關']",,,"[4, 5, 6]",2,0,50,65000,40000,"{'wf8': {'desc': '', 'param': 'wf8'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf26': {'desc': '', 'param': 'wf26'}}",[1],0,,0.795184026106029,"[2007001018, 2007001007, 2016001007]","['c@wf8', 'c@wf7', 'c@wf2', 'c@wf1', 'c@wf29', 'c@wf26']",,,,,True,"{'lastProcessedResumeAtTime': 1751954348, 'nowTimestamp': 1751964634}"
20250705,4,1001001006,其它軟體及網路相關業,圖靈數位股份有限公司,130000000091361,"未來是數據決策時代，我們幫助客戶蒐集數據、了解數據、利用數據，用數據結合Martech幫助客戶成長。
圖靈數位是數據分析權威指標性團隊，我們不是傳統產業在紅海競爭，因此我們對業務的要求是相信數據，用數據幫助客戶。

我們要求業務：
1、了解客戶需","未來是數據決策時代，我們幫助客戶蒐集數據、了解數據、利用數據，用數據結合Martech幫助客戶成長。
圖靈數位是[[[數據分析]]]權威指標性團隊，我們不是傳統產業在紅海競爭，因此我們對業務的要求是相信數據，用數據幫助客戶。

我們要求業務：
1、了解客戶需",0.31,中山北路一段2號11樓,6001001001,台北市中正區,數據分析銷售業務,[[[數據分析]]]銷售業務,14435535,1,0,25.046123,121.5194294,"{'job': 'https://www.104.com.tw/job/8lej3', 'cust': 'https://www.104.com.tw/company/1a2x6bjxsx', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8lej3?channel=104rpt'}",[],99001002009,捷運台北車站站,[4],4,0,50,70000,36000,"{'wf3': {'desc': '', 'param': 'wf3'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'landmark': {'desc': '距捷運台北車站站約310公尺'}}",[1],0,09:30-18:30,0.6217033113999894,"[2005003004, 2005003016]","['c@wf3', 'c@wf2', 'c@wf10', 'c@wf29', 'foreigners@full_fc_em_jbs', 'c@wf1']",,,,,False,"{'lastProcessedResumeAtTime': 1751909246, 'nowTimestamp': 1751964634}"
20250707,8,1011004001,不動產經營業,永慶房產集團_永慶房屋仲介股份有限公司,22760834000,"1.利用數據分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告","1.利用[[[數據分析]]]解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告",0.5,敦化南路二段77號12樓,6001001005,台北市大安區,數據分析師 C31,[[[數據分析]]]師 C31,12418887,1,2,25.030284,121.549201,"{'job': 'https://www.104.com.tw/job/7e6h3', 'cust': 'https://www.104.com.tw/company/agf7nww', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/7e6h3?channel=104rpt'}",[],99001002003,捷運信義安和站,"[4, 5, 6]",0,0,50,60000,40000,"{'wf32': {'desc': '', 'param': 'wf32'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf30': {'desc': '', 'param': 'wf30'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'wf10': {'desc': '', 'param': 'wf10'}, 'wf20': {'desc': '', 'param': 'wf20'}, 'wf7': {'desc': '', 'param': 'wf7'}, 'wf31': {'desc': '', 'param': 'wf31'}, 'wf28': {'desc': '', 'param': 'wf28'}, 'wf1': {'desc': '', 'param': 'wf1'}, 'landmark': {'desc': '距捷運信義安和站約500公尺'}}",[1],0,8:30-18:00,0.8645415396137591,"[2004001010, 2004003002, 2003002008]","['c@wf32', 'c@wf29', 'c@wf30', 'c@wf3', 'c@wf2', 'c@wf10', 'c@wf20', 'c@wf7', 'c@wf31', 'c@wf28', 'c@wf1']",,,,,True,"{'lastProcessedResumeAtTime': 1751952180, 'nowTimestamp': 1751964634}"
20250630,10,1001001001,電腦系統整合服務業,艾捷科技有限公司,130000000226240,"我們正在尋找身懷絕技的【數據分析師】加入我們的團隊

你的任務：

    解讀數據，預測數據的健康狀況。
    將數據轉化為視覺化洞見和可執行方案。
    資料探勘，驅動決策。

加分：熟悉 Data Warehouse、大數據、雲端 (","我們正在尋找身懷絕技的【[[[數據分析]]]師】加入我們的團隊

你的任務：

    解讀數據，預測數據的健康狀況。
    將數據轉化為視覺化洞見和可執行方案。
    資料探勘，驅動決策。

加分：熟悉 Data Warehouse、大數據、雲端 (",0.35,大墩十街300號,6001008008,台中市南屯區,數據分析師,[[[數據分析]]]師,14437328,1,0,24.148053,120.6456065,"{'job': 'https://www.104.com.tw/job/8lfww', 'cust': 'https://www.104.com.tw/company/1a2x6bmtvk', 'applyAnalyze': 'https://www.104.com.tw/jobs/apply/analysis/8lfww?channel=104rpt'}","['數學及電算機科學學科類', '工程學科類']",99003001011,捷運文心森林公園站,"[4, 5]",2,0,10,0,0,"{'wf8': {'desc': '', 'param': 'wf8'}, 'wf11': {'desc': '', 'param': 'wf11'}, 'wf29': {'desc': '', 'param': 'wf29'}, 'wf25': {'desc': '', 'param': 'wf25'}, 'wf3': {'desc': '', 'param': 'wf3'}, 'wf2': {'desc': '', 'param': 'wf2'}, 'landmark': {'desc': '距捷運文心森林公園站約350公尺'}}",[1],0,09:00~18:00,0.7814221901246456,"[2007001018, 2007001022, 2007001021]","['c@wf8', 'c@wf11', 'c@wf29', 'c@wf25', 'c@wf3', 'c@wf2']",,,,,True,"{'lastProcessedResumeAtTime': 1751521279, 'nowTimestamp': 1751964634}"
